Grid,Date,Burrow or other,Comments,GPS code,Precision,X (west-to-east),Y (south-to-north),Mean X (west-to-east),Mean Y (south-to-north),DATUM (original PS56=yellow),Huso,Mean X (WGS84),Mean Y (WGS84),Scaled X,Scaled Y,,,,,,,,,,,,,,,,,,
,12-Nov-21,26,,176,3,325112.0,6291593.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,26,,245,3,325112.0,6291593.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,30,,R30,3,325103.0,6291619.0,325103.0,6291619.3,wgs84,19,325103,6291619,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,30,,177,3,325103.0,6291619.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,30,,246,3,325103.0,6291620.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,28,,R28,3,325111.0,6291619.0,325111.0,6291618.3,wgs84,19,325111,6291618,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,28,,178,3,325111.0,6291618.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,28,,247,3,325111.0,6291618.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,25,,R25,3,325136.0,6291652.0,325136.3,6291652.0,wgs84,19,325136,6291652,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,25,,179,3,325137.0,6291652.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,25,,248,3,325136.0,6291652.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,14m S 25,,14SR25,3,325136.0,6291639.0,325136.7,6291639.0,wgs84,19,325137,6291639,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,14m S 25,,180,3,325137.0,6291639.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,14m S 25,,249,3,325137.0,6291639.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,5m E 25,,5ER25,3,325139.0,6291651.0,325141.3,6291652.3,wgs84,19,325141,6291652,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,5m E 25,,181,3,325143.0,6291654.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,5m E 25,,250,3,325142.0,6291652.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,22m E 25,,22ER25,3,325155.0,6291660.0,325156.0,6291660.0,wgs84,19,325156,6291660,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,22m E 25,,182,3,325156.0,6291661.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,22m E 25,,251,3,325157.0,6291659.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,31,,R31,3,325135.0,6291682.0,325136.0,6291681.7,wgs84,19,325136,6291682,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,31,,183,3,325137.0,6291682.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,31,,252,3,325136.0,6291681.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,9,,R9,3,325146.0,6291690.0,325146.3,6291689.3,wgs84,19,325146,6291689,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,9,,184,3,325146.0,6291689.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,9,,253,3,325147.0,6291689.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,16,,R16,3,325136.0,6291695.0,325137.0,6291694.7,wgs84,19,325137,6291695,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,16,,185,3,325137.0,6291695.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,16,,254,3,325138.0,6291694.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,19,,R19,3,325120.0,6291685.0,325120.7,6291685.0,wgs84,19,325121,6291685,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,19,,186,3,325121.0,6291684.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,19,,255,3,325121.0,6291686.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,11,,R11,3,325111.0,6291695.0,325112.0,6291696.0,wgs84,19,325112,6291696,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,11,,187,3,325113.0,6291696.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,11,,256,3,325112.0,6291697.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,41,,R41,3,325122.0,6291700.0,325122.7,6291700.3,wgs84,19,325123,6291700,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,41,,190,3,325123.0,6291701.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,41,,259,3,325123.0,6291700.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,SILLA 2021,,SILLA,3,325114.0,6291711.0,325114.3,6291711.7,wgs84,19,325114,6291712,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,SILLA 2021,,189,3,325115.0,6291713.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,SILLA 2021,,258,3,325114.0,6291711.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,15,,R15,3,325141.0,6291707.0,325141.3,6291707.7,wgs84,19,325141,6291708,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,15,,191,3,325142.0,6291709.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,15,,260,3,325141.0,6291707.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,14,,R14,3,325143.0,6291723.0,325143.7,6291725.3,wgs84,19,325144,6291725,,,,,,,,,,,,,,,,,,,,
