"","group","count","ec.value","diameter","density","avg_path_length","efficiency","ei","prunk.pu","prunk.dyads","network","m.apl","cluster","overlap","density_pool","year","sex.keyID","sex"
"40","8",NA,NA,2,0.333333333333333,NA,NA,NA,NA,NA,"multilayer",0.0488798370672097,0.00827481634438514,0.0264389563831906,1,"2023","M","M"
"41","9",NA,NA,2,0.266666666666667,NA,NA,NA,NA,NA,"multilayer",0.0387467757656212,0.00777460637747225,0.03642459645127,1,"2023","M","M"
"42","9",NA,NA,2,0.266666666666667,NA,NA,NA,NA,NA,"multilayer",0.0387467757656212,0.00777460637747225,0.03642459645127,1,"2023","M","M"
"43","10",NA,NA,2,0.295238095238095,NA,NA,NA,NA,NA,"multilayer",0.0535676413957597,0.0160528787404819,0.0489019237006434,1,"2023","M","M"
"44","11",NA,NA,2,0.466666666666667,NA,NA,NA,NA,NA,"multilayer",0.0271493212669682,0,0.236842105263158,1,"2023","M","M"
"45","11",NA,NA,2,0.466666666666667,NA,NA,NA,NA,NA,"multilayer",0.0271493212669682,0,0.236842105263158,1,"2023","M","M"
"46","14",NA,NA,2,0.183006535947712,NA,NA,NA,NA,NA,"multilayer",0.0608166320414204,0.0257600360920519,0.0100401900745937,0.6,"2023","M","M"
"47","14",NA,NA,2,0.183006535947712,NA,NA,NA,NA,NA,"multilayer",0.0608166320414204,0.0257600360920519,0.0100401900745937,0.6,"2023","M","M"
"48","18",NA,NA,2,0.257142857142857,NA,NA,NA,NA,NA,"multilayer",0.0729768456951994,0.0124958641971615,0.0943045817612014,0.8,"2023","M","M"
"49","54",NA,NA,2,0.277777777777778,NA,NA,NA,NA,NA,"multilayer",0.035331007912104,0,0.0671371576088779,0.666666666666667,"2023","F","F"
