"","actor","subject","n","actor.obs","subject.obs","ave.obs","frequency"
"1","6814","6936",2,15.1666666666667,25.8333333333333,20.5,0.0975609756097561
"2","6814","7007",1,15.1666666666667,11,13.0833333333333,0.0764331210191083
"3","6814","7010",1,15.1666666666667,25.1666666666667,20.1666666666667,0.0495867768595041
"4","6814","7198",2,15.1666666666667,7.16666666666667,11.1666666666667,0.17910447761194
"5","6818","6833",2,32.3333333333333,43,37.6666666666667,0.0530973451327434
"6","6818","6838",3,32.3333333333333,37.8333333333333,35.0833333333333,0.0855106888361045
"7","6818","7115",2,32.3333333333333,40.5,36.4166666666667,0.0549199084668192
"8","6819","7084",1,23.8333333333333,21.8333333333333,22.8333333333333,0.0437956204379562
"9","6819","7098",3,23.8333333333333,29.6666666666667,26.75,0.11214953271028
"10","6819","7102",3,23.8333333333333,22.1666666666667,23,0.130434782608696
"11","6819","7110",2,23.8333333333333,18.3333333333333,21.0833333333333,0.0948616600790514
"12","6819","7167",1,23.8333333333333,24.1666666666667,24,0.0416666666666667
"13","6819","7175",1,23.8333333333333,26.5,25.1666666666667,0.0397350993377483
"14","6819","7183",1,23.8333333333333,34.8333333333333,29.3333333333333,0.0340909090909091
"15","6819","7186",1,23.8333333333333,13.3333333333333,18.5833333333333,0.0538116591928251
"16","6819","7197",2,23.8333333333333,23.6666666666667,23.75,0.0842105263157895
"17","6819","7199",1,23.8333333333333,9.16666666666667,16.5,0.0606060606060606
"18","6820","6937",2,23.8333333333333,18.8333333333333,21.3333333333333,0.09375
"19","6820","7080",2,23.8333333333333,21.6666666666667,22.75,0.0879120879120879
"20","6820","7084",1,23.8333333333333,21.8333333333333,22.8333333333333,0.0437956204379562
"21","6820","7098",2,23.8333333333333,29.6666666666667,26.75,0.0747663551401869
"22","6820","7099",2,23.8333333333333,20,21.9166666666667,0.091254752851711
"23","6820","7114",1,23.8333333333333,21.6666666666667,22.75,0.043956043956044
"24","6820","7140",1,23.8333333333333,19.6666666666667,21.75,0.0459770114942529
"25","6820","7149",1,23.8333333333333,12.8333333333333,18.3333333333333,0.0545454545454545
"26","6820","7170",2,23.8333333333333,24.8333333333333,24.3333333333333,0.0821917808219178
"27","6820","7192",1,23.8333333333333,24.6666666666667,24.25,0.0412371134020619
"28","6825","6833",1,27,43,35,0.0285714285714286
"29","6825","6901",1,27,35.6666666666667,31.3333333333333,0.0319148936170213
"30","6825","7028",1,27,36,31.5,0.0317460317460317
"31","6825","7072",4,27,39.6666666666667,33.3333333333333,0.12
"32","6825","7107",1,27,31,29,0.0344827586206897
"33","6825","7125",1,27,39.5,33.25,0.0300751879699248
"34","6825","7166",4,27,35.8333333333333,31.4166666666667,0.127320954907162
"35","6825","7171",1,27,39.8333333333333,33.4166666666667,0.0299251870324189
"36","6833","6818",2,43,32.3333333333333,37.6666666666667,0.0530973451327434
"37","6833","6825",1,43,27,35,0.0285714285714286
"38","6833","6838",2,43,37.8333333333333,40.4166666666667,0.0494845360824742
"39","6833","6938",1,43,24,33.5,0.0298507462686567
"40","6833","6993",1,43,27.1666666666667,35.0833333333333,0.0285035629453682
"41","6833","7028",3,43,36,39.5,0.0759493670886076
