"","id","sex","meanagd","masculinization","mean_bm","n_bm","meanhf","n","bodycondition","mean_escapescore","docility","hr50","hr95"
"79",7270,"F",0.8975,"low",178.27,20,24.505,4,-0.0705538337495797,0.395393068469992,"average leaving trap",0.0399216918945312,0.190625952148437
"80",7271,"F",1.812,"large",205.2,28,25.206,5,0.025548509073774,0.293684571348506,"average leaving trap",0.0487037353515625,0.197428649902344
"81",7274,"F",1.764,"large",177.256666666667,30,24.188,5,-0.0556727249199159,0.468702422897908,"average leaving trap",0.0449980712890625,0.183704260253906
"82",7276,"M",8.36,"average",185.346612466125,41,23.8045454545455,11,0.014215919297835,0.435737609960408,"average leaving trap",0.073097216796875,0.340492626953125
"83",7278,"F",1.078,"low",201.85,14,24.866,5,0.0305552084718837,NA,NA,0.0689654663085938,0.29205693359375
"84",7279,"F",2.05,"large",226,8,25.4,3,0.109978974689753,NA,NA,0.0467044921875,0.193473278808594
"85",7280,"F",1.244,"average",202.771428571429,21,26.348,5,-0.0563986225355404,0.412457053440827,"average leaving trap",0.0313513916015625,0.114659094238281
"86",7281,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",7284,"M",9.528,"average",199.15,14,25.53,5,-0.0245672892093643,0.435009086536777,"average leaving trap",NA,NA
"88",7286,"F",2.46,"large",179.24,30,24.6825,4,-0.0765358186496612,0.386351297069783,"average leaving trap",0.0457617553710937,0.211741076660156
"89",7288,"F",NA,NA,NA,NA,24.61,2,NA,0.333357120283812,"average leaving trap",NA,NA
"90",7290,"F",0.883333333333333,"low",196.0125,8,24.09,3,0.0513243062251214,0.0839160839160839,"slow leaving trap",NA,NA
"91",7291,"F",1.328,"average",194.546666666667,15,25.39,5,-0.0392615126895861,NA,NA,0.023209375,0.091437890625
"92",7292,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",7295,"F",1.437,"average",175.722222222222,18,24.247,10,-0.0682180306136367,0.398095118592013,"average leaving trap",0.0633179931640625,0.226884704589844
"94",7296,"F",1.006,"low",176.62,5,25.994,5,-0.173095898400086,NA,NA,NA,NA
"95",7298,"F",1.8875,"large",209.54375,16,24.12625,8,0.115701610536038,0.479876865107044,"average leaving trap",0.112399548339844,0.637037829589844
"96",7301,"M",NA,NA,174.055555555556,9,24.445,2,-0.0906034925942152,0.497813896017489,"fast leaving trap",NA,NA
"97",7302,"M",8.42,"average",187.744444444444,27,24.93125,8,-0.0460303709825783,0.440625012631688,"average leaving trap",0.0274572509765625,0.129015100097656
"98",7303,"M",9.03,"average",171.2875,8,24.915,4,-0.136738014220248,NA,NA,NA,NA
"99",7304,"M",NA,NA,197.675,4,25.455,2,-0.0273508361570144,NA,NA,NA,NA
"100",7307,"F",NA,NA,199.00625,32,24.65,2,0.0301574398917291,0.335781958693653,"average leaving trap",NA,NA
"101",7311,"M",8.86333333333333,"average",173.49,10,24.8766666666667,3,-0.121527599897498,0.163865546218487,"slow leaving trap",NA,NA
"102",7313,"F",1.8075,"large",183.407692307692,13,25.025,4,-0.0753334000263809,0.378040052865852,"average leaving trap",0.0159358276367188,0.079983984375
"103",7314,"F",1.46857142857143,"average",193.67619047619,21,25.4028571428571,7,-0.0445461780621692,0.366107426193263,"average leaving trap",0.0465057373046875,0.167518688964844
"104",7315,"F",1.372,"average",209.114285714286,14,25.104,5,0.0508538538410497,NA,NA,0.0174185424804688,0.085257373046875
"105",7319,"F",1.17,"average",205.279166666667,24,24.775,6,0.0531965750950937,0.391354206341369,"average leaving trap",NA,NA
"106",7320,"M",9,"average",191.171428571429,7,25.72,3,-0.077175422383986,NA,NA,NA,NA
"107",7323,"F",NA,NA,203.533333333333,3,25.165,2,0.0199664457122782,NA,NA,NA,NA
"108",7324,"F",0.995714285714286,"low",207.463636363636,11,24.735,7,0.0663359660951593,NA,NA,0.0720951293945312,0.495501623535156
"109",7326,"M",8.46428571428571,"average",180.014285714286,14,25.7028571428571,7,-0.136255848371837,0.40251481427952,"average leaving trap",NA,NA
"110",7328,"M",10.36,"large",220.273076923077,52,25.1866666666667,12,0.0976443155794458,0.490512680167853,"fast leaving trap",0.248430285644531,1.27400710449219
"111",7332,"M",9.58666666666667,"average",183.4,4,24.6266666666667,3,-0.0500122532745923,NA,NA,NA,NA
"112",7334,"F",1.2975,"average",186.272,25,24.94,4,-0.0544587739205234,NA,NA,0.03395888671875,0.134808532714844
"113",7337,"M",NA,NA,190.15,6,27.31,2,-0.177349632131126,NA,NA,NA,NA
"114",7338,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",7339,"F",1.146,"average",206.333333333333,27,25.514,5,0.0118583432974593,0.424090467226329,"average leaving trap",0.0489939819335937,0.171390148925781
"116",7340,"F",1.7,"average",197.128125,32,24.96,3,0.000920057160514224,0.525829562594268,"fast leaving trap",0.243788208007813,0.9690609375
"117",7342,"F",NA,NA,195.725,4,24.62,2,0.0154567682974939,NA,NA,0.0165689331054687,0.0793523193359375
"118",7343,"F",NA,NA,185.15,18,25.45,2,-0.0924982767619911,0.462174655658698,"average leaving trap",NA,NA
