"","group","count","ec.value","diameter","density","avg_path_length","efficiency","ei","prunk.pu","prunk.dyads","network"
"1","1",308,1.64680881043177,0.503082956399015,1,0.322189313695516,0.123738981497693,0.319860627048966,0,15,"proximity"
"2","6",307,2.25781114966819,0.481927710843373,1,0.308287980626049,0.0849404080971861,0.254821224291558,0,28,"proximity"
"3","7",150,1.3431986780811,0.488372093023256,1,0.309455674975065,0.16189001908836,0.375896983603115,0,10,"proximity"
"4","8",130,1.05662507329185,0.329896907216495,0.666666666666667,0.263566551694023,0.130545053532021,0.337454068034909,0.333,15,"proximity"
"5","9",16,0.332179930795848,0.332179930795848,1,0.332179930795848,1,1,0,1,"proximity"
"6","10",89,2.27873958484526,0.683673469387755,1,0.430193620283502,0.170546491547329,0.395996690208213,0,10,"proximity"
"7","11",325,1.45958931690886,0.385058812675862,0.642857142857143,0.232751729029488,0.134849228746982,0.404547686240946,0.357,28,"proximity"
"8","14",101,1.13430433474193,0.545454545454545,1,0.372598523593782,0.217291905693857,0.434583811387713,0,6,"proximity"
"9","16",81,0.613398027981215,0.344497607655502,1,0.305771178713286,0.371000952930231,0.588022598126232,0,3,"proximity"
"10","18",91,1.16002698316528,0.406026557711951,1,0.234336088022748,0.173477450458359,0.402802166048694,0,10,"proximity"
"11","23",12,0.211764705882353,0.211764705882353,1,0.211764705882353,1,1,0,1,"proximity"
"12","36",109,1.14458538339407,0.403669724770642,1,0.284470736579742,0.153515919228385,0.356452925868846,0,10,"proximity"
"13","43",20,0.261904761904762,0.261904761904762,1,0.261904761904762,1,1,0,1,"proximity"
"14","46",2,0.313430733056286,0.367393800229621,0.666666666666667,0.244929200153081,0.579380164285695,0.91829583405449,0.333,3,"proximity"
"15","59",130,1.33343089406518,0.295774647887324,1,0.19206824139924,0.112675056411626,0.316318874210296,0,21,"proximity"
"16","64",12,0.358974358974359,0.358974358974359,1,0.358974358974359,1,1,0,1,"proximity"
"17","65",150,1.01215656862624,0.239401496259352,1,0.160563341799594,0.17510048614577,0.406570738210299,0,10,"proximity"
"18","93",3,1.75482207365991,2.08928571428571,0.666666666666667,1.39285714285714,0.579380164285695,0.918295834054489,0.333,3,"proximity"
"19","101",1,0.0606060606060606,0.0606060606060606,1,0.0606060606060606,1,1,0,1,"proximity"
"20","102",6,0.144578313253012,0.144578313253012,1,0.144578313253012,1,1,0,1,"proximity"
"21","107",1,0.375,0.375,1,0.375,1,1,0,1,"proximity"
"22","1",99,0.463897311738802,0.157794534102153,0.833333333333333,0.0861193332777439,0.0822825168883443,0.555809144975631,0.133,15,"affiliative"
"23","6",92,0.580834872428326,0.168588014062628,0.803571428571429,0.09272123281988,0.0775745488811875,0.524007350723503,0.179,28,"affiliative"
"24","7",56,0.383981417389831,0.154241645244216,1,0.0871647092206379,0.0580804088873541,0.392326628113733,0,10,"affiliative"
"25","8",74,0.497212324803113,0.217706118274071,0.6,0.119445240806545,0.106304462788559,0.718074687114638,0.4,15,"affiliative"
"26","9",7,0.143838129348281,0.166089965397924,1,0.145328719723184,0.148040955482933,1,0,1,"affiliative"
"27","10",19,0.322740167421435,0.256206554121152,0.75,0.12727704935709,0.0972915382264109,0.657193395631843,0.1,10,"affiliative"
"28","11",151,0.619234814899222,0.239020303567908,0.571428571428571,0.0921821961379978,0.0984687585506809,0.665145386487547,0.393,28,"affiliative"
"29","14",25,0.251307270544274,0.31910771325339,0.666666666666667,0.140742262744626,0.144863836374077,0.978538917838707,0.333,6,"affiliative"
"30","16",26,0.186548001700856,0.157009345794393,1,0.0806720728532574,0.103668451212376,0.700268725463125,0,3,"affiliative"
"31","18",22,0.213810658029967,0.114102905891762,0.65,0.0745152385461556,0.13891012325237,0.938322255481424,0.3,10,"affiliative"
"32","23",21,0.370167828765936,0.388235294117647,1,0.370588235294117,0.148040955482933,1,0,1,"affiliative"
"33","36",53,0.477042825818703,0.134642621093381,1,0.0790030719671496,0.078062431284824,0.527302941474352,0,10,"affiliative"
"34","59",75,0.568590080206518,0.325065436869001,0.547619047619048,0.172521530097979,0.135542772262296,0.915576178363172,0.429,21,"affiliative"
"35","65",107,0.646200579185491,0.290557721647737,0.95,0.117240754624962,0.0789189898607741,0.533088898293908,0,10,"affiliative"
"36","93",1,0,0.375,0.166666666666667,0.375,0,0,0.667,3,"affiliative"
"37","101",4,0.121212121212121,0.121212121212121,1,0.121212121212121,0.148040955482933,1,0,1,"affiliative"
"38","102",7,0.125208492113413,0.144578313253012,1,0.126506024096386,0.148040955482933,1,0,1,"affiliative"
"39","1",6,0.0563235751687159,0.0768149027486074,0.133333333333333,0.0505042255678521,0.154014623304976,1.04035145411319,0.8,15,"agonistic"
"40","6",4,0.0402684563758389,0.0515021459227467,0.0714285714285714,0.0426871840234448,0.296081910965865,2,0.893,28,"agonistic"
"41","7",4,0.0308483290488432,0.0377358490566038,0.2,0.0326503345807804,0.070227569558381,0.474379331917223,0.7,10,"agonistic"
"42","8",3,5.63785129692462e-18,0.0613305207234658,0.1,0.0379116371733271,0.135945392689423,0.918295834054489,0.867,15,"agonistic"
"43","11",9,0,0.190854870775348,0.0357142857142857,0.108330661194126,0.148040955482933,1,0.929,28,"agonistic"
"44","14",4,3.46944695195361e-18,0.109983268265477,0.25,0.0641940881204685,0.148040955482933,1,0.667,6,"agonistic"
"45","16",1,0,0.0217391304347827,0.166666666666667,0.0217391304347827,0,0,0.667,3,"agonistic"
"46","18",1,0,0.0427046263345197,0.05,0.0427046263345197,0,0,0.9,10,"agonistic"
"47","23",2,0.0352941176470588,0.0352941176470587,1,0.0352941176470587,0.148040955482933,1,0,1,"agonistic"
"48","36",1,0,0.0463320463320462,0.05,0.0463320463320462,0,0,0.9,10,"agonistic"
"49","59",4,0.040133779264214,0.116083146352822,0.0952380952380952,0.0664600143939715,0.234639363011378,1.58496250072116,0.857,21,"agonistic"
"50","64",1,0,0.0512820512820513,0.5,0.0512820512820513,0,0,0,1,"agonistic"
"51","65",14,0.116788321167883,0.339259593482326,0.2,0.164634875353086,0.234639363011378,1.58496250072116,0.7,10,"agonistic"
"52","102",3,0.0511161528568588,0.072289156626506,1,0.0542168674698795,0.148040955482933,1,0,1,"agonistic"
