"","network","count.obs","diameter.obs","density.obs","avg_path_length.obs","efficiency.obs","cluster.obs","overlap.obs"
"sexM...1","proximity",0.039442617696253,-0.0652003714175351,-0.212852083556016,-0.0329619279393694,0.441259893674473,NA,NA
"sexM...2","affiliative",0.509285977584043,-0.00530151694288764,0.393043670750635,0.0291609066588637,-0.0726155368798694,NA,NA
"sexM...3","agonistic",0.622673923902569,0.0634335007799752,-0.224476592393396,-10.1316287195784,0.0110213875237958,NA,NA
"sexM...4","multilayer",NA,NA,-0.0452247366743359,-2.88295447959127,NA,-0.00273114378561102,-0.0191889701612469
