"","actor","subject","n","actor.obs","subject.obs","ave.obs","frequency"
"1","6818","6833",1,32.3333333333333,43,37.6666666666667,0.0265486725663717
"2","6825","7072",1,27,39.6666666666667,33.3333333333333,0.03
"3","6825","7115",2,27,40.5,33.75,0.0592592592592593
"4","6825","7125",1,27,39.5,33.25,0.0300751879699248
"5","6833","6818",1,43,32.3333333333333,37.6666666666667,0.0265486725663717
"6","6833","7038",1,43,22.5,32.75,0.0305343511450382
"7","6833","7125",11,43,39.5,41.25,0.266666666666667
"8","6833","7166",1,43,35.8333333333333,39.4166666666667,0.0253699788583509
"9","6838","6818",1,37.8333333333333,32.3333333333333,35.0833333333333,0.0285035629453682
"10","6838","6825",5,37.8333333333333,27,32.4166666666667,0.154241645244216
"11","6838","7028",1,37.8333333333333,36,36.9166666666667,0.0270880361173815
"12","6838","7072",3,37.8333333333333,39.6666666666667,38.75,0.0774193548387097
"13","6838","7115",2,37.8333333333333,40.5,39.1666666666667,0.051063829787234
"14","6838","7125",5,37.8333333333333,39.5,38.6666666666667,0.129310344827586
"15","6838","7145",9,37.8333333333333,2.33333333333333,20.0833333333333,0.448132780082988
"16","6838","7166",2,37.8333333333333,35.8333333333333,36.8333333333333,0.0542986425339366
"17","6838","7171",1,37.8333333333333,39.8333333333333,38.8333333333333,0.0257510729613734
"18","6838","7193",2,37.8333333333333,25.6666666666667,31.75,0.062992125984252
"19","6846","7088",2,29,23.6666666666667,26.3333333333333,0.0759493670886076
"20","6879","7025",1,7.33333333333333,0.833333333333333,4.08333333333333,0.244897959183673
"21","6888","7027",1,24.5,26.5,25.5,0.0392156862745098
"22","6888","7033",1,24.5,32.5,28.5,0.0350877192982456
"23","6888","7079",1,24.5,29.8333333333333,27.1666666666667,0.0368098159509202
"24","6888","7183",1,24.5,34.8333333333333,29.6666666666667,0.0337078651685393
"25","6901","6929",1,35.6666666666667,27.5,31.5833333333333,0.0316622691292876
"26","6911","7027",1,23.3333333333333,26.5,24.9166666666667,0.040133779264214
"27","6911","7033",3,23.3333333333333,32.5,27.9166666666667,0.107462686567164
"28","6936","6825",5,25.8333333333333,27,26.4166666666667,0.189274447949527
"29","6936","7010",3,25.8333333333333,25.1666666666667,25.5,0.117647058823529
"30","6936","7072",1,25.8333333333333,39.6666666666667,32.75,0.0305343511450382
"31","6936","7091",1,25.8333333333333,3.33333333333333,14.5833333333333,0.0685714285714286
"32","6936","7115",1,25.8333333333333,40.5,33.1666666666667,0.0301507537688442
"33","6936","7166",1,25.8333333333333,35.8333333333333,30.8333333333333,0.0324324324324324
"34","6936","7196",1,25.8333333333333,2.33333333333333,14.0833333333333,0.0710059171597633
"35","6936","7198",3,25.8333333333333,7.16666666666667,16.5,0.181818181818182
"36","6993","6825",1,27.1666666666667,27,27.0833333333333,0.0369230769230769
"37","6993","6838",2,27.1666666666667,37.8333333333333,32.5,0.0615384615384615
"38","6993","7028",1,27.1666666666667,36,31.5833333333333,0.0316622691292876
"39","6993","7055",1,27.1666666666667,28.6666666666667,27.9166666666667,0.0358208955223881
"40","6993","7060",2,27.1666666666667,24.8333333333333,26,0.0769230769230769
"41","6993","7135",3,27.1666666666667,22.8333333333333,25,0.12
"42","6993","7183",1,27.1666666666667,34.8333333333333,31,0.032258064516129
"43","6995","7060",1,22.1666666666667,24.8333333333333,23.5,0.0425531914893617
"44","6995","7085",1,22.1666666666667,21.1666666666667,21.6666666666667,0.0461538461538461
"45","6995","7135",2,22.1666666666667,22.8333333333333,22.5,0.0888888888888889
"46","7010","6825",2,25.1666666666667,27,26.0833333333333,0.0766773162939297
"47","7010","6846",2,25.1666666666667,29,27.0833333333333,0.0738461538461538
"48","7010","6936",2,25.1666666666667,25.8333333333333,25.5,0.0784313725490196
"49","7010","7095",1,25.1666666666667,12.3333333333333,18.75,0.0533333333333333
"50","7010","7115",1,25.1666666666667,40.5,32.8333333333333,0.0304568527918782
"51","7010","7130",1,25.1666666666667,8.66666666666667,16.9166666666667,0.0591133004926108
"52","7016","7186",1,14.1666666666667,13.3333333333333,13.75,0.0727272727272727
"53","7021","7098",1,29,29.6666666666667,29.3333333333333,0.0340909090909091
"54","7021","7136",1,29,29.1666666666667,29.0833333333333,0.0343839541547278
"55","7025","7047",1,0.833333333333333,2.83333333333333,1.83333333333333,0.545454545454545
"56","7025","7064",1,0.833333333333333,4.83333333333333,2.83333333333333,0.352941176470588
"57","7027","6888",3,26.5,24.5,25.5,0.117647058823529
"58","7027","7102",1,26.5,22.1666666666667,24.3333333333333,0.0410958904109589
"59","7028","6825",4,36,27,31.5,0.126984126984127
"60","7028","7059",1,36,24.8333333333333,30.4166666666667,0.0328767123287671
"61","7028","7166",2,36,35.8333333333333,35.9166666666667,0.0556844547563805
"62","7028","7183",2,36,34.8333333333333,35.4166666666667,0.0564705882352941
"63","7028","7191",1,36,7.66666666666667,21.8333333333333,0.0458015267175573
"64","7032","7047",1,6,2.83333333333333,4.41666666666667,0.226415094339623
"65","7032","7064",2,6,4.83333333333333,5.41666666666667,0.369230769230769
"66","7033","6888",1,32.5,24.5,28.5,0.0350877192982456
"67","7033","6911",1,32.5,23.3333333333333,27.9166666666667,0.0358208955223881
"68","7033","7079",2,32.5,29.8333333333333,31.1666666666667,0.0641711229946524
"69","7033","7167",1,32.5,24.1666666666667,28.3333333333333,0.0352941176470588
"70","7033","7169",1,32.5,24.3333333333333,28.4166666666667,0.0351906158357771
"71","7033","7200",1,32.5,18.1666666666667,25.3333333333333,0.0394736842105263
"72","7038","7167",1,22.5,24.1666666666667,23.3333333333333,0.0428571428571429
"73","7038","7169",2,22.5,24.3333333333333,23.4166666666667,0.0854092526690391
"74","7045","7060",1,18.8333333333333,24.8333333333333,21.8333333333333,0.0458015267175573
"75","7045","7079",1,18.8333333333333,29.8333333333333,24.3333333333333,0.0410958904109589
"76","7045","7100",1,18.8333333333333,16.3333333333333,17.5833333333333,0.0568720379146919
"77","7045","7175",1,18.8333333333333,26.5,22.6666666666667,0.0441176470588235
"78","7045","7200",1,18.8333333333333,18.1666666666667,18.5,0.0540540540540541
"79","7047","7025",1,2.83333333333333,0.833333333333333,1.83333333333333,0.545454545454545
"80","7053","6825",4,28.5,27,27.75,0.144144144144144
"81","7053","7028",1,28.5,36,32.25,0.0310077519379845
"82","7053","7073",1,28.5,22.5,25.5,0.0392156862745098
"83","7053","7183",2,28.5,34.8333333333333,31.6666666666667,0.0631578947368421
"84","7055","6833",1,28.6666666666667,43,35.8333333333333,0.027906976744186
"85","7055","7028",1,28.6666666666667,36,32.3333333333333,0.0309278350515464
"86","7059","6833",1,24.8333333333333,43,33.9166666666667,0.0294840294840295
"87","7059","6938",1,24.8333333333333,24,24.4166666666667,0.0409556313993174
"88","7059","7060",1,24.8333333333333,24.8333333333333,24.8333333333333,0.0402684563758389
"89","7060","7059",1,24.8333333333333,24.8333333333333,24.8333333333333,0.0402684563758389
"90","7060","7072",1,24.8333333333333,39.6666666666667,32.25,0.0310077519379845
"91","7072","6825",6,39.6666666666667,27,33.3333333333333,0.18
"92","7072","6833",1,39.6666666666667,43,41.3333333333333,0.0241935483870968
"93","7072","6838",2,39.6666666666667,37.8333333333333,38.75,0.0516129032258065
"94","7072","7010",1,39.6666666666667,25.1666666666667,32.4166666666667,0.0308483290488432
"95","7072","7028",1,39.6666666666667,36,37.8333333333333,0.026431718061674
"96","7072","7060",2,39.6666666666667,24.8333333333333,32.25,0.062015503875969
"97","7072","7115",1,39.6666666666667,40.5,40.0833333333333,0.0249480249480249
"98","7072","7125",2,39.6666666666667,39.5,39.5833333333333,0.0505263157894737
"99","7072","7166",6,39.6666666666667,35.8333333333333,37.75,0.158940397350993
"100","7072","7171",2,39.6666666666667,39.8333333333333,39.75,0.050314465408805
"101","7073","6825",1,22.5,27,24.75,0.0404040404040404
"102","7073","7098",1,22.5,29.6666666666667,26.0833333333333,0.0383386581469649
"103","7073","7183",1,22.5,34.8333333333333,28.6666666666667,0.0348837209302326
"104","7073","7194",2,22.5,27.1666666666667,24.8333333333333,0.0805369127516778
"105","7078","6937",1,22,18.8333333333333,20.4166666666667,0.0489795918367347
"106","7078","7084",1,22,21.8333333333333,21.9166666666667,0.0456273764258555
"107","7078","7170",1,22,24.8333333333333,23.4166666666667,0.0427046263345196
"108","7079","7033",1,29.8333333333333,32.5,31.1666666666667,0.0320855614973262
"109","7079","7110",1,29.8333333333333,18.3333333333333,24.0833333333333,0.041522491349481
"110","7079","7167",2,29.8333333333333,24.1666666666667,27,0.0740740740740741
"111","7079","7169",1,29.8333333333333,24.3333333333333,27.0833333333333,0.0369230769230769
"112","7079","7197",1,29.8333333333333,23.6666666666667,26.75,0.0373831775700935
"113","7080","7194",1,21.6666666666667,27.1666666666667,24.4166666666667,0.0409556313993174
"114","7083","7197",1,18.1666666666667,23.6666666666667,20.9166666666667,0.047808764940239
"115","7084","7136",1,21.8333333333333,29.1666666666667,25.5,0.0392156862745098
"116","7088","6825",1,23.6666666666667,27,25.3333333333333,0.0394736842105263
"117","7088","6846",1,23.6666666666667,29,26.3333333333333,0.0379746835443038
"118","7088","7072",1,23.6666666666667,39.6666666666667,31.6666666666667,0.0315789473684211
"119","7088","7073",1,23.6666666666667,22.5,23.0833333333333,0.0433212996389892
"120","7088","7183",1,23.6666666666667,34.8333333333333,29.25,0.0341880341880342
"121","7098","6888",1,29.6666666666667,24.5,27.0833333333333,0.0369230769230769
"122","7098","7053",1,29.6666666666667,28.5,29.0833333333333,0.0343839541547278
"123","7098","7083",1,29.6666666666667,18.1666666666667,23.9166666666667,0.0418118466898955
"124","7098","7136",1,29.6666666666667,29.1666666666667,29.4166666666667,0.0339943342776204
"125","7099","7102",1,20,22.1666666666667,21.0833333333333,0.0474308300395257
"126","7099","7192",2,20,24.6666666666667,22.3333333333333,0.0895522388059701
"127","7099","7194",1,20,27.1666666666667,23.5833333333333,0.0424028268551237
"128","7100","7186",1,16.3333333333333,13.3333333333333,14.8333333333333,0.0674157303370787
"129","7102","7098",1,22.1666666666667,29.6666666666667,25.9166666666667,0.0385852090032154
"130","7102","7099",1,22.1666666666667,20,21.0833333333333,0.0474308300395257
"131","7102","7169",1,22.1666666666667,24.3333333333333,23.25,0.043010752688172
"132","7102","7200",1,22.1666666666667,18.1666666666667,20.1666666666667,0.0495867768595041
"133","7103","7170",1,24.5,24.8333333333333,24.6666666666667,0.0405405405405405
"134","7107","6825",3,31,27,29,0.103448275862069
"135","7107","7028",1,31,36,33.5,0.0298507462686567
"136","7107","7072",1,31,39.6666666666667,35.3333333333333,0.0283018867924528
"137","7107","7166",2,31,35.8333333333333,33.4166666666667,0.0598503740648379
"138","7107","7171",2,31,39.8333333333333,35.4166666666667,0.0564705882352941
"139","7110","7028",1,18.3333333333333,36,27.1666666666667,0.0368098159509202
"140","7110","7197",1,18.3333333333333,23.6666666666667,21,0.0476190476190476
"141","7114","7138",2,21.6666666666667,31.8333333333333,26.75,0.0747663551401869
"142","7115","6901",1,40.5,35.6666666666667,38.0833333333333,0.0262582056892779
"143","7115","7059",1,40.5,24.8333333333333,32.6666666666667,0.0306122448979592
"144","7115","7072",1,40.5,39.6666666666667,40.0833333333333,0.0249480249480249
"145","7115","7125",2,40.5,39.5,40,0.05
"146","7115","7166",1,40.5,35.8333333333333,38.1666666666667,0.0262008733624454
"147","7115","7171",1,40.5,39.8333333333333,40.1666666666667,0.024896265560166
"148","7117","6819",1,32.6666666666667,23.8333333333333,28.25,0.0353982300884956
"149","7117","7021",1,32.6666666666667,29,30.8333333333333,0.0324324324324324
"150","7117","7040",1,32.6666666666667,36,34.3333333333333,0.029126213592233
"151","7117","7084",1,32.6666666666667,21.8333333333333,27.25,0.036697247706422
"152","7117","7091",1,32.6666666666667,3.33333333333333,18,0.0555555555555556
"153","7117","7183",1,32.6666666666667,34.8333333333333,33.75,0.0296296296296296
"154","7125","6825",6,39.5,27,33.25,0.180451127819549
"155","7125","6833",8,39.5,43,41.25,0.193939393939394
"156","7125","6838",1,39.5,37.8333333333333,38.6666666666667,0.0258620689655172
"157","7125","6993",2,39.5,27.1666666666667,33.3333333333333,0.06
"158","7125","7032",1,39.5,6,22.75,0.043956043956044
"159","7125","7072",5,39.5,39.6666666666667,39.5833333333333,0.126315789473684
"160","7125","7115",9,39.5,40.5,40,0.225
"161","7125","7171",1,39.5,39.8333333333333,39.6666666666667,0.0252100840336134
"162","7132","6837",1,24.8333333333333,11.5,18.1666666666667,0.055045871559633
"163","7135","6825",1,22.8333333333333,27,24.9166666666667,0.040133779264214
