"","int.ids","degree","strength","between","closeness","ec","pr","network","dom_ec"
"7225...136",7225,2,0.170368364030336,0,0.055674745864283,0.0466557860871969,0.167947411461164,"affiliative",NA
"7227...137",7227,7,0.886116247520598,25,0.0693481709777198,0.109525921955657,0.36865416295327,"affiliative",NA
"7230...138",7230,11,1.2176782248407,57,0.0901594991786863,0.639370417581481,0.562700859977632,"affiliative",NA
"7232...139",7232,7,0.59450545654424,261,0.0898473290726015,0.0203692143755274,0.597398958132952,"affiliative",NA
"7233...140",7233,8,0.66046762446444,95,0.0794193953410846,0.0184041658316999,0.49638779594031,"affiliative",NA
"7234...141",7234,8,0.462328567258425,166,0.0815120456673209,0.108172285125609,0.336993733336639,"affiliative",NA
"7236...142",7236,7,0.513400554095825,99,0.0788545884263152,0.0149228199861134,0.453782954444184,"affiliative",NA
"7246...143",7246,10,0.431815762740005,901,0.102214646449692,0.0555837243325018,0.350051625083243,"affiliative",NA
"7253...144",7253,11,1.25957566611159,56,0.0869231835150119,0.198150723418193,0.663139850959585,"affiliative",NA
"7255...145",7255,19,1.1499824364444,1211,0.106971260392719,0.337293773134196,0.701333248601735,"affiliative",NA
"7263...146",7263,10,0.60325036006149,466,0.103667145016458,0.0622044650621051,0.503185248157453,"affiliative",NA
"7265...147",7265,8,0.717906842025432,57,0.0837945630444856,0.361614651693134,0.36328851903978,"affiliative",NA
"7267...148",7267,10,1.71470024140664,3,0.0834610363269921,1,0.748762982789027,"affiliative",NA
"7268...149",7268,8,0.742122798109382,64,0.0753670351160752,0.0221173514881547,0.511662200952135,"affiliative",NA
"7270...150",7270,5,0.42059493484183,7,0.075930474966945,0.000900488460232698,0.245014964251521,"affiliative",NA
"7271...151",7271,7,0.504188210968876,5,0.0762047221726132,0.0182030566998755,0.360390573524141,"affiliative",NA
"7274...152",7274,5,0.355603805038707,47,0.0830034799786081,0.0132508572988032,0.247366178306344,"affiliative",NA
"7276...153",7276,9,0.427261229633872,752,0.103213265656159,0.0709664869143269,0.272700210736324,"affiliative",NA
"7278...154",7278,6,0.664971421053844,3,0.0482884389344363,0.000824160185482169,0.288560622532972,"affiliative",NA
"7279...155",7279,6,0.268786924561518,242,0.0880053692520511,0.0209613799275531,0.179142188834313,"affiliative",NA
"7280...156",7280,7,0.820498872545729,5,0.0684650435231881,0.0325292872955073,0.660034629612094,"affiliative",NA
"7286...157",7286,7,0.427603135406162,340,0.0745696243271665,0.00902646168397077,0.339008255364673,"affiliative",NA
"7290...158",7290,4,0.382445512346549,0,0.0725507634772669,0.0959566402077967,0.267532676576143,"affiliative",NA
"7291...159",7291,10,0.542434581381919,371,0.0926157440047576,0.173217718329011,0.510322495404341,"affiliative",NA
"7295...160",7295,14,1.33115016356756,404,0.094647167562281,0.0456812586243489,0.780339385750825,"affiliative",NA
"7298...161",7298,9,1.04964178393834,172,0.0649874862333706,0.102172495508633,0.535308130670939,"affiliative",NA
"7302...162",7302,9,0.922884408624735,579,0.0900085349899623,0.00321318440226006,0.554396863936426,"affiliative",NA
"7304...163",7304,1,0.0597014925373134,86,0.0602929894784585,0.0140205761109574,0.179412398374437,"affiliative",NA
"7313...164",7313,6,0.472314040130349,0,0.0772614820151206,0.0139523207390742,0.348258245245973,"affiliative",NA
"7314...165",7314,2,0.190678761338756,1,0.0410372078590004,0.000728965698487063,0.299591213529006,"affiliative",NA
"7315...166",7315,8,0.532224449792739,33,0.0784910651932937,0.149316175407639,0.620886629367667,"affiliative",NA
"7323...167",7323,2,0.108707351200086,107,0.0767070622391079,0.00533574058734778,0.104692466670823,"affiliative",NA
"7324...168",7324,10,1.16196247768119,80,0.0910197725008799,0.129817924141662,0.614757786192099,"affiliative",NA
"7328...169",7328,13,0.864982187253378,905,0.0946624338212364,0.31225995606092,0.34874959244665,"affiliative",NA
"7334...170",7334,9,0.599248900041808,137,0.0844411847201433,0.0322740457942433,0.481683298409928,"affiliative",NA
"7339...171",7339,10,0.682507381310124,692,0.0888856243108973,0.0132582143273607,0.416714322542117,"affiliative",NA
"7340...172",7340,3,0.326310270633415,20,0.0645787996558421,0.00563034747248628,0.357586880128324,"affiliative",NA
"7342...173",7342,10,0.745239557157739,386,0.0797550684151025,0.168837522103774,0.635067718199191,"affiliative",NA
"7345...174",7345,7,0.947404040003373,2,0.0618270905049438,0.00185622144948362,0.622667568672366,"affiliative",NA
"7346...175",7346,15,1.23612681009988,865,0.0935921184299884,0.0458640286146789,0.783787353440506,"affiliative",NA
"7352...176",7352,3,0.335336400230017,0,0.0587812688091283,0.000975008067603645,0.272257737834421,"affiliative",NA
"7355...177",7355,20,1.27134892828005,1731,0.117126515592423,0.204429816551093,0.733284982988616,"affiliative",NA
"7363...178",7363,2,0.483029653447659,103,0.0708531835895921,0.0136014317241814,0.16818571915682,"affiliative",NA
"7366...179",7366,4,0.490343329230168,3,0.0543389022497321,0.00177623291700271,0.537376378246545,"affiliative",NA
"7367...180",7367,8,0.67309091286773,495,0.0889418545215945,0.00394304602480339,0.57402844307155,"affiliative",NA
"7369...181",7369,14,1.43685261769487,830,0.0925120997850065,0.0799888219829948,0.872191007068782,"affiliative",NA
"7380...182",7380,8,0.684175522771315,80,0.0821270669853567,0.10467782717814,0.526703879836689,"affiliative",NA
"7381...183",7381,2,0.819444444444444,0,0.0194496190281863,0.00564761549380562,0.196096542615992,"affiliative",NA
"7384...184",7384,6,0.358512208995781,99,0.0721205219270756,0.0651550402638017,0.373159478041445,"affiliative",NA
"7386...185",7386,12,0.896229669303195,1018,0.0924384389250388,0.0320475177841105,0.657883885267474,"affiliative",NA
"7390...186",7390,8,0.577808602543672,82,0.0802982612321578,0.0354258496891231,0.587315331554514,"affiliative",NA
"7391...187",7391,9,0.772696232612404,128,0.0931996368439224,0.253089198645329,0.531649804581343,"affiliative",NA
"7398...188",7398,2,0.143078702251069,0,0.0536006217613791,0.0164165710757319,0.128314185729687,"affiliative",NA
"7399...189",7399,0,0,0,NA,0,0.0645583921452654,"affiliative",NA
"7407...190",7407,7,1.36003523177511,238,0.0752781527756571,0.00304744045824031,0.670718197448655,"affiliative",NA
"7410...191",7410,10,0.819761949985629,124,0.0856377261097093,0.0400244311593186,0.434800727805118,"affiliative",NA
"7424...192",7424,5,0.336455110795144,127,0.0719813252068728,0.00119191954102491,0.380352414508146,"affiliative",NA
"7425...193",7425,1,0.108597285067873,0,0.041122087579365,0,0.0645583921452654,"affiliative",NA
"7426...194",7426,9,0.531811832132967,615,0.0998829374386207,0.022603338787254,0.424348756764505,"affiliative",NA
"7427...195",7427,10,0.731952893136619,458,0.0945334576712844,0.144080640807048,0.538588827220096,"affiliative",NA
"7430...196",7430,1,0.0670391061452514,0,0.0476830903381282,0.000646614211754953,0.115756104067398,"affiliative",NA
"7433...197",7433,2,0.132716049382716,0,0.0613131702147882,0.000306982496503628,0.124966796528065,"affiliative",NA
"7443...198",7443,2,0.0861784424961321,2,0.0631693291497603,0.0128033932861664,0.138558967722461,"affiliative",NA
"7448...199",7448,10,0.975189654143919,97,0.0841744564659717,0.140587285875611,0.547889593323027,"affiliative",NA
"7450...200",7450,1,0.136363636363636,0,0.0339071438810772,0,0.0645583921452654,"affiliative",NA
"7452...201",7452,1,0.0463320463320463,0,0.0659055766600231,0.00138719940064332,0.0934672104345161,"affiliative",NA
"7453...202",7453,8,0.872112437100179,373,0.0946118604740165,0.111681478131231,0.452751589670316,"affiliative",NA
"7455...203",7455,6,0.728094129479199,38,0.0783195099002225,0.00183888032830785,0.449365115261213,"affiliative",NA
"7456...204",7456,4,0.299374071412206,1,0.0655257480378913,0.0146566418622317,0.127281730071948,"affiliative",NA
"7460...205",7460,8,0.804949471513809,0,0.0811702139867185,0.411322232238459,0.35180013956658,"affiliative",NA
"7461...206",7461,7,0.884766242748946,0,0.0878464017452994,0.0986703870849091,0.439266864183767,"affiliative",NA
"7462...207",7462,3,0.184884075035428,0,0.0671288930737256,0.0304528625053075,0.146546292625895,"affiliative",NA
"7472...208",7472,14,0.930213981682262,402,0.0912852578192997,0.294686710595294,0.443727200478104,"affiliative",NA
"7474...209",7474,0,0,0,NA,0,0.0645583921452654,"affiliative",NA
"7475...210",7475,7,0.788659752116929,386,0.0681657723497424,0.0103241431402679,0.708586851767629,"affiliative",NA
"7477...211",7477,3,0.351788400367427,0,0.0769576123845227,0.0395128706437024,0.11860517702342,"affiliative",NA
"7479...212",7479,6,0.659760130849938,191,0.0731275932014949,0.00456287396735615,0.485034260610717,"affiliative",NA
"7480...213",7480,10,0.637584379201108,626,0.0850841137716166,0.0212316704239345,0.472112162255083,"affiliative",NA
"7482...214",7482,0,0,0,NA,1.2564151644667e-16,0.119433025468741,"affiliative",NA
"7485...215",7485,5,0.370249010374031,88,0.0791371665966607,0.0072676351422937,0.261175877143495,"affiliative",NA
"7486...216",7486,0,0,0,NA,0,0.0645583921452654,"affiliative",NA
"6814...217",6814,0,0,0,NA,0.020031165651529,0.0630659246119738,"agonistic",0.00924822466691335
"6818...218",6818,0,0,0,NA,1.69444098426307e-18,0.0455828678158398,"agonistic",0.00924422804767752
"6833...219",6833,2,0.137448603620441,70,0.0472508761012375,0.0290261641972065,0.169105898166147,"agonistic",0.00925705509481045
"6879...220",6879,3,0.262928577994301,76,0.0917938477136874,0.000104987081020652,0.0989477457837433,"agonistic",0.0092582879117322
"6888...221",6888,0,0,0,NA,0.00341530006307529,0.165902316772062,"agonistic",0.00926470213145973
"6905...222",6905,0,0,0,NA,1.69444098426307e-18,0.0455828678158398,"agonistic",0.00924422804767742
"6937...223",6937,1,0.0344827586206897,0,0.0731770129066169,1.69444098426307e-18,0.0455828678158398,"agonistic",0.00924426777651804
"7010...224",7010,6,0.186897427962948,562,0.0952096688782258,0.0815412571655897,0.175280547351923,"agonistic",0.00925773575675123
"7038...225",7038,3,0.127736487066376,234,0.0651598073254066,0.00118638709567524,0.0820778211677116,"agonistic",0.00925368150524072
"7040...226",7040,0,0,0,NA,1.69444098426307e-18,0.0455828678158398,"agonistic",0.00924422804767742
"7055...227",7055,0,0,0,NA,1.69444098426307e-18,0.0455828678158398,"agonistic",0.00924422804767742
"7065...228",7065,0,0,0,NA,1.69444098426307e-18,0.0455828678158398,"agonistic",0.00924422804767742
"7072...229",7072,4,0.127713059488768,205,0.0831261781335869,0.182468818641157,0.325036474383621,"agonistic",0.00927920810345284
"7083...230",7083,2,0.0998831775700935,70,10.0116959064327,0.000644422849534904,0.248847849535899,"agonistic",0.00925407488810868
"7139...231",7139,4,0.144323785335076,1174,0.0893820406498585,0.032741614134607,0.259674122050025,"agonistic",0.00926904326409339
"7186...232",7186,9,0.540655909608482,572,0.091624065885405,0.299871817036355,0.457358312413231,"agonistic",0.00927062419458026
"7190...233",7190,3,0.172442335989134,42,0.0666382566705356,0.0686218403677112,0.163581295984656,"agonistic",0.00924790118052161
"7194...234",7194,3,0.123713818315361,66,0.0496200962064003,0.00210776063823478,0.0924884159689791,"agonistic",0.00924817472534577
"7197...235",7197,0,0,0,NA,1.69444098426307e-18,0.0455828678158398,"agonistic",0.00924422804767742
"7204...236",7204,2,0.167278063096112,0,0.0715885130746612,0.879436924897712,0.648349962516531,"agonistic",0.00932238284671763
"7207...237",7207,2,0.0937549282447564,1060,0.080936470135858,0.528761564025019,0.694754600271888,"agonistic",0.00927476682465967
"7214...238",7214,0,0,0,NA,1.69444098426307e-18,0.0455828678158398,"agonistic",0.00924422804767742
"7218...239",7218,1,0.0854092526690391,0,0.0491026886954798,0.0299553238373842,0.160074688029808,"agonistic",0.00925443806004984
"7219...240",7219,1,0.0217391304347826,0,0.0512472925174766,0.0208919883897298,0.106602728053214,"agonistic",0.00924864041896763
"7220...241",7220,4,0.163167346313134,155,0.0857698947459536,0.191543473035094,0.314124485595892,"agonistic",0.00928485865677402
"7221...242",7221,0,0,0,NA,1.69444098426307e-18,0.0455828678158398,"agonistic",0.00924422804767742
"7222...243",7222,5,0.258084619867042,1431,0.111641172402902,0.859732114007023,1,"agonistic",0.00938993291081872
"7225...244",7225,1,0.06,0,0.059219710371474,1.69444098426307e-18,0.0455828678158398,"agonistic",0.00924429715234439
"7227...245",7227,4,0.232718187466041,0,0.0808887500219643,0.0697357713511161,0.163882850136787,"agonistic",0.00925897922047394
"7230...246",7230,4,0.39724645755313,290,0.0851068695392419,0.502931961946903,0.434101982204298,"agonistic",0.00927194079474207
"7232...247",7232,6,0.567771037113863,66,0.0897780888429342,0.0507389209896511,0.0822273714895472,"agonistic",0.00925480199402435
"7233...248",7233,0,0,0,NA,0.0011417977817272,0.0627262249323356,"agonistic",0.00924854614731491
"7234...249",7234,0,0,0,NA,0.0669494924511745,0.122499328169622,"agonistic",0.00925259690160188
"7236...250",7236,1,0.0515021459227468,0,19.4166666666667,1.69444098426307e-18,0.0455828678158398,"agonistic",0.00924428737170875
"7246...251",7246,1,0.0201342281879195,0,0.0690545416154411,1.69444098426307e-18,0.0455828678158398,"agonistic",0.00924425124949379
"7253...252",7253,2,0.0692403486924035,159,0.0791999557231383,0.0159434961943138,0.106676064960873,"agonistic",0.00925574591411619
