"","network","count.obs","diameter.obs","density.obs","avg_path_length.obs","efficiency.obs"
"group_with_thkeyyes...1","proximity",-0.168166237822909,-0.311798888030511,0.337491440420605,1.16581126640932,0.482251743733778
"group_with_thkeyyes...2","affiliative",-0.212575597948632,0.00160618695920358,0.972377678856271,0.374232825581539,1.14136558532272
"group_with_thkeyyes...3","agonistic",0.44183275227911,0.0498747509288213,0.82189178309822,-6.61263391628985,0.390339478264518
