"","id1","id2","n","actor.obs","subject.obs","ave.obs","frequency"
"157","7125","6818",2,39.5,32.3333333333333,35.9166666666667,0.0556844547563805
"158","7130","6818",0,0,0,0,0
"159","7132","6818",0,0,0,0,0
"160","7135","6818",0,0,0,0,0
"161","7136","6818",0,0,0,0,0
"162","7138","6818",0,0,0,0,0
"163","7140","6818",0,0,0,0,0
"164","7141","6818",0,0,0,0,0
"165","7145","6818",0,0,0,0,0
"166","7149","6818",0,0,0,0,0
"167","7166","6818",0,0,0,0,0
"168","7167","6818",0,0,0,0,0
"169","7169","6818",0,0,0,0,0
"170","7170","6818",0,0,0,0,0
"171","7171","6818",0,0,0,0,0
"172","7175","6818",0,0,0,0,0
"173","7183","6818",0,0,0,0,0
"174","7186","6818",0,0,0,0,0
"175","7191","6818",0,0,0,0,0
"176","7192","6818",0,0,0,0,0
"177","7193","6818",0,0,0,0,0
"178","7194","6818",0,0,0,0,0
"179","7196","6818",0,0,0,0,0
"180","7197","6818",0,0,0,0,0
"181","7198","6818",0,0,0,0,0
"182","7199","6818",0,0,0,0,0
"183","7200","6818",0,0,0,0,0
"184","7202","6818",0,0,0,0,0
"185","6814","6819",0,0,0,0,0
"186","6818","6819",0,0,0,0,0
"187","6820","6819",0,0,0,0,0
"188","6825","6819",0,0,0,0,0
"189","6833","6819",0,0,0,0,0
"190","6837","6819",0,0,0,0,0
"191","6838","6819",0,0,0,0,0
"192","6846","6819",0,0,0,0,0
"193","6862","6819",0,0,0,0,0
"194","6879","6819",0,0,0,0,0
"195","6888","6819",0,0,0,0,0
"196","6901","6819",0,0,0,0,0
"197","6905","6819",0,0,0,0,0
"198","6911","6819",0,0,0,0,0
"199","6929","6819",0,0,0,0,0
"200","6936","6819",0,0,0,0,0
"201","6937","6819",0,0,0,0,0
"202","6938","6819",0,0,0,0,0
"203","6993","6819",0,0,0,0,0
"204","6995","6819",0,0,0,0,0
"205","7007","6819",0,0,0,0,0
"206","7010","6819",0,0,0,0,0
"207","7016","6819",0,0,0,0,0
"208","7021","6819",1,29,23.8333333333333,26.4166666666667,0.0378548895899054
"209","7025","6819",0,0,0,0,0
"210","7027","6819",0,0,0,0,0
"211","7028","6819",1,36,23.8333333333333,29.9166666666667,0.0334261838440111
"212","7029","6819",0,0,0,0,0
"213","7031","6819",0,0,0,0,0
"214","7032","6819",0,0,0,0,0
"215","7033","6819",0,0,0,0,0
"216","7038","6819",0,0,0,0,0
"217","7040","6819",0,0,0,0,0
"218","7045","6819",0,0,0,0,0
"219","7047","6819",0,0,0,0,0
"220","7053","6819",0,0,0,0,0
"221","7055","6819",0,0,0,0,0
"222","7056","6819",0,0,0,0,0
"223","7059","6819",0,0,0,0,0
"224","7060","6819",0,0,0,0,0
"225","7064","6819",0,0,0,0,0
"226","7065","6819",0,0,0,0,0
"227","7072","6819",0,0,0,0,0
"228","7073","6819",0,0,0,0,0
"229","7078","6819",0,0,0,0,0
"230","7079","6819",0,0,0,0,0
"231","7080","6819",0,0,0,0,0
"232","7083","6819",0,0,0,0,0
"233","7084","6819",0,0,0,0,0
"234","7085","6819",0,0,0,0,0
"235","7088","6819",0,0,0,0,0
"236","7091","6819",0,0,0,0,0
"237","7095","6819",0,0,0,0,0
"238","7098","6819",1,29.6666666666667,23.8333333333333,26.75,0.0373831775700935
"239","7099","6819",0,0,0,0,0
"240","7100","6819",0,0,0,0,0
"241","7102","6819",4,22.1666666666667,23.8333333333333,23,0.173913043478261
"242","7103","6819",0,0,0,0,0
"243","7107","6819",0,0,0,0,0
"244","7108","6819",0,0,0,0,0
"245","7110","6819",3,18.3333333333333,23.8333333333333,21.0833333333333,0.142292490118577
"246","7114","6819",0,0,0,0,0
"247","7115","6819",0,0,0,0,0
"248","7117","6819",0,0,0,0,0
"249","7125","6819",0,0,0,0,0
"250","7130","6819",0,0,0,0,0
"251","7132","6819",0,0,0,0,0
"252","7135","6819",0,0,0,0,0
"253","7136","6819",0,0,0,0,0
"254","7138","6819",0,0,0,0,0
"255","7140","6819",0,0,0,0,0
"256","7141","6819",0,0,0,0,0
"257","7145","6819",0,0,0,0,0
"258","7149","6819",0,0,0,0,0
"259","7166","6819",0,0,0,0,0
"260","7167","6819",1,24.1666666666667,23.8333333333333,24,0.0416666666666667
"261","7169","6819",0,0,0,0,0
"262","7170","6819",0,0,0,0,0
"263","7171","6819",0,0,0,0,0
"264","7175","6819",1,26.5,23.8333333333333,25.1666666666667,0.0397350993377483
"265","7183","6819",0,0,0,0,0
"266","7186","6819",1,13.3333333333333,23.8333333333333,18.5833333333333,0.0538116591928251
"267","7191","6819",0,0,0,0,0
"268","7192","6819",0,0,0,0,0
"269","7193","6819",0,0,0,0,0
"270","7194","6819",0,0,0,0,0
"271","7196","6819",0,0,0,0,0
"272","7197","6819",2,23.6666666666667,23.8333333333333,23.75,0.0842105263157895
"273","7198","6819",0,0,0,0,0
"274","7199","6819",2,9.16666666666667,23.8333333333333,16.5,0.121212121212121
"275","7200","6819",1,18.1666666666667,23.8333333333333,21,0.0476190476190476
"276","7202","6819",0,0,0,0,0
"277","6814","6820",0,0,0,0,0
"278","6818","6820",0,0,0,0,0
"279","6819","6820",0,0,0,0,0
"280","6825","6820",0,0,0,0,0
"281","6833","6820",0,0,0,0,0
"282","6837","6820",0,0,0,0,0
"283","6838","6820",0,0,0,0,0
"284","6846","6820",0,0,0,0,0
"285","6862","6820",0,0,0,0,0
"286","6879","6820",0,0,0,0,0
"287","6888","6820",0,0,0,0,0
"288","6901","6820",0,0,0,0,0
"289","6905","6820",0,0,0,0,0
"290","6911","6820",0,0,0,0,0
"291","6929","6820",0,0,0,0,0
"292","6936","6820",0,0,0,0,0
"293","6937","6820",1,18.8333333333333,23.8333333333333,21.3333333333333,0.046875
"294","6938","6820",0,0,0,0,0
"295","6993","6820",0,0,0,0,0
"296","6995","6820",0,0,0,0,0
"297","7007","6820",0,0,0,0,0
"298","7010","6820",0,0,0,0,0
