"","ec.value","diameter","density","avg_path_length","efficiency","ei","prunk.pu","prunk.dyads","network","linearity","steepness","transi.ttri","dompattern"
"...1",2.48949123025174,2.50400750896151,0.0944963655244029,0.195254363299292,0.575978962750023,3.89067309698921,0.906,5778,"proximity",NA,NA,NA,NA
"...2",1.07037753772954,0.777191595953405,0.062478366216684,0.145786778914121,0.594896935186341,4.01846187256556,0.932,5778,"affiliative",NA,NA,NA,NA
"ttri",0.238801705879626,0.649907158271334,0.0192973347178955,0.195357724571712,0.691316733942101,4.66976676614197,0.97,5778,"agonistic",0.0277,0.000153286006106665,0.378,"pure.undefined"
