"","ec.value","diameter","density","avg_path_length","efficiency","ei","prunk.pu","prunk.dyads","network","linearity","steepness","transi.ttri","dompattern","year"
"...1",2.52804285090342,1.00394638862752,0.130668536699392,0.148393417918304,0.574098571945218,3.4948037239314,0.869,4278,"proximity",NA,NA,NA,NA,"2023"
"...2",1.37680408634562,0.65944710994315,0.0794763908368396,0.148783848881687,0.646171769825018,3.93354663787476,0.905,4278,"affiliative",NA,NA,NA,NA,"2023"
"ttri",0.545454545454545,1.070753794488,0.0293361383824217,0.187916546819985,0.721467436988814,4.39190621384153,0.951,4278,"agonistic",0.0329,0.00025155785126995,0.388,"pure.undefined","2023"
