"","group","count","ec.value","diameter","density","avg_path_length","efficiency","ei","prunk.pu","prunk.dyads","network","m.apl","cluster","overlap","density_pool","year","sex.keyID","sex"
"19","16",26,0.186548001700856,0.157009345794393,1,0.0806720728532574,0.103668451212376,0.700268725463125,0,3,"affiliative",NA,NA,NA,NA,"2024","M","M"
"20","16",26,0.186548001700856,0.157009345794393,1,0.0806720728532574,0.103668451212376,0.700268725463125,0,3,"affiliative",NA,NA,NA,NA,"2024","F","F"
"21","18",22,0.213810658029967,0.114102905891762,0.65,0.0745152385461556,0.13891012325237,0.938322255481424,0.3,10,"affiliative",NA,NA,NA,NA,"2024","F","F"
"22","23",21,0.370167828765936,0.388235294117647,1,0.370588235294117,0.148040955482933,1,0,1,"affiliative",NA,NA,NA,NA,"2024","F","F"
"23","59",75,0.568590080206518,0.325065436869001,0.547619047619048,0.172521530097979,0.135542772262296,0.915576178363172,0.429,21,"affiliative",NA,NA,NA,NA,"2024","M","M"
"24","65",107,0.646200579185491,0.290557721647737,0.95,0.117240754624962,0.0789189898607741,0.533088898293908,0,10,"affiliative",NA,NA,NA,NA,"2024","M","M"
"25","65",107,0.646200579185491,0.290557721647737,0.95,0.117240754624962,0.0789189898607741,0.533088898293908,0,10,"affiliative",NA,NA,NA,NA,"2024","F","F"
"26","101",4,0.121212121212121,0.121212121212121,1,0.121212121212121,0.148040955482933,1,0,1,"affiliative",NA,NA,NA,NA,"2024","M","M"
"27","102",7,0.125208492113413,0.144578313253012,1,0.126506024096386,0.148040955482933,1,0,1,"affiliative",NA,NA,NA,NA,"2024","M","M"
"28","7",4,0.0308483290488432,0.0377358490566038,0.2,0.0326503345807804,0.070227569558381,0.474379331917223,0.7,10,"agonistic",NA,NA,NA,NA,"2024","F","F"
"29","11",9,0,0.190854870775348,0.0357142857142857,0.108330661194126,0.148040955482933,1,0.929,28,"agonistic",NA,NA,NA,NA,"2024","M","M"
"30","14",4,0,0.109983268265477,0.25,0.0641940881204685,0.148040955482933,1,0.667,6,"agonistic",NA,NA,NA,NA,"2024","F","F"
"31","16",1,0,0.0217391304347827,0.166666666666667,0.0217391304347827,0,0,0.667,3,"agonistic",NA,NA,NA,NA,"2024","M","M"
"32","16",1,0,0.0217391304347827,0.166666666666667,0.0217391304347827,0,0,0.667,3,"agonistic",NA,NA,NA,NA,"2024","F","F"
"33","18",1,0,0.0427046263345197,0.05,0.0427046263345197,0,0,0.9,10,"agonistic",NA,NA,NA,NA,"2024","F","F"
"34","23",2,0.0352941176470588,0.0352941176470587,1,0.0352941176470587,0.148040955482933,1,0,1,"agonistic",NA,NA,NA,NA,"2024","F","F"
"35","59",4,0.040133779264214,0.116083146352822,0.0952380952380952,0.0664600143939715,0.234639363011378,1.58496250072116,0.857,21,"agonistic",NA,NA,NA,NA,"2024","M","M"
"36","65",14,0.116788321167883,0.339259593482326,0.2,0.164634875353086,0.234639363011378,1.58496250072116,0.7,10,"agonistic",NA,NA,NA,NA,"2024","M","M"
"37","65",14,0.116788321167883,0.339259593482326,0.2,0.164634875353086,0.234639363011378,1.58496250072116,0.7,10,"agonistic",NA,NA,NA,NA,"2024","F","F"
"38","102",3,0.0511161528568588,0.072289156626506,1,0.0542168674698795,0.148040955482933,1,0,1,"agonistic",NA,NA,NA,NA,"2024","M","M"
"39","7",NA,NA,2,0.314285714285714,NA,NA,NA,NA,NA,"multilayer",0.0491915468751876,0.0300307378699979,0.027535274843573,1,"2024","F","F"
"40","9",NA,NA,2,0.4,NA,NA,NA,NA,NA,"multilayer",0.124567474048443,0,0,1,"2024","M","M"
"41","11",NA,NA,2,0.181159420289855,NA,NA,NA,NA,NA,"multilayer",0.0648442669799344,0.0342213797275184,0.0159990352980891,0.607142857142857,"2024","M","M"
"42","14",NA,NA,2,0.303030303030303,NA,NA,NA,NA,NA,"multilayer",0.0622500491301616,0.0279454573047525,0.0469688342516806,1,"2024","F","F"
"43","16",NA,NA,2,0.361111111111111,NA,NA,NA,NA,NA,"multilayer",0.0337887131838933,0.0111063876555136,0.0143165079030692,1,"2024","M","M"
"44","16",NA,NA,2,0.361111111111111,NA,NA,NA,NA,NA,"multilayer",0.0337887131838933,0.0111063876555136,0.0143165079030692,1,"2024","F","F"
"45","18",NA,NA,2,0.257142857142857,NA,NA,NA,NA,NA,"multilayer",0.0573515877822949,0.0235950557264392,0.0122517347427324,1,"2024","F","F"
"46","23",NA,NA,2,0.466666666666667,NA,NA,NA,NA,NA,"multilayer",0.0352941176470587,0,0.0857142857142857,1,"2024","F","F"
"47","59",NA,NA,2,0.228571428571429,NA,NA,NA,NA,NA,"multilayer",0.0790256156531605,0.0173084315840236,0.0233132399774029,0.952380952380952,"2024","M","M"
"48","65",NA,NA,2,0.295238095238095,NA,NA,NA,NA,NA,"multilayer",0.0510766091412245,0.0242967076313246,0.00610064439096432,1,"2024","M","M"
"49","65",NA,NA,2,0.295238095238095,NA,NA,NA,NA,NA,"multilayer",0.0510766091412245,0.0242967076313246,0.00610064439096432,1,"2024","F","F"
"50","101",NA,NA,2,0.333333333333333,NA,NA,NA,NA,NA,"multilayer",0.0606060606060606,0,0,1,"2024","M","M"
"51","102",NA,NA,2,0.466666666666667,NA,NA,NA,NA,NA,"multilayer",0.036144578313253,0,0.28125,1,"2024","M","M"
