"","group","count","ec.value","diameter","density","avg_path_length","efficiency","ei","prunk.pu","prunk.dyads","network","m.apl","cluster","overlap","density_pool","year","sex.keyID","sex"
"1","7",150,1.3431986780811,0.488372093023256,1,0.309455674975065,0.16189001908836,0.375896983603115,0,10,"proximity",NA,NA,NA,NA,"2024","F","F"
"2","9",16,0.332179930795848,0.332179930795848,1,0.332179930795848,1,1,0,1,"proximity",NA,NA,NA,NA,"2024","M","M"
"3","11",325,1.45958931690886,0.385058812675862,0.642857142857143,0.232751729029488,0.134849228746982,0.404547686240946,0.357,28,"proximity",NA,NA,NA,NA,"2024","M","M"
"4","14",101,1.13430433474193,0.545454545454545,1,0.372598523593782,0.217291905693857,0.434583811387713,0,6,"proximity",NA,NA,NA,NA,"2024","F","F"
"5","16",81,0.613398027981215,0.344497607655502,1,0.305771178713286,0.371000952930231,0.588022598126232,0,3,"proximity",NA,NA,NA,NA,"2024","M","M"
"6","16",81,0.613398027981215,0.344497607655502,1,0.305771178713286,0.371000952930231,0.588022598126232,0,3,"proximity",NA,NA,NA,NA,"2024","F","F"
"7","18",91,1.16002698316528,0.406026557711951,1,0.234336088022748,0.173477450458359,0.402802166048694,0,10,"proximity",NA,NA,NA,NA,"2024","F","F"
"8","23",12,0.211764705882353,0.211764705882353,1,0.211764705882353,1,1,0,1,"proximity",NA,NA,NA,NA,"2024","F","F"
"9","43",20,0.261904761904762,0.261904761904762,1,0.261904761904762,1,1,0,1,"proximity",NA,NA,NA,NA,"2024","M","M"
"10","59",130,1.33343089406519,0.295774647887324,1,0.19206824139924,0.112675056411626,0.316318874210296,0,21,"proximity",NA,NA,NA,NA,"2024","M","M"
"11","65",150,1.01215656862624,0.239401496259352,1,0.160563341799594,0.17510048614577,0.406570738210299,0,10,"proximity",NA,NA,NA,NA,"2024","M","M"
"12","65",150,1.01215656862624,0.239401496259352,1,0.160563341799594,0.17510048614577,0.406570738210299,0,10,"proximity",NA,NA,NA,NA,"2024","F","F"
"13","101",1,0.0606060606060606,0.0606060606060606,1,0.0606060606060606,1,1,0,1,"proximity",NA,NA,NA,NA,"2024","M","M"
"14","102",6,0.144578313253012,0.144578313253012,1,0.144578313253012,1,1,0,1,"proximity",NA,NA,NA,NA,"2024","M","M"
"15","7",56,0.383981417389831,0.154241645244216,1,0.0871647092206379,0.0580804088873541,0.392326628113733,0,10,"affiliative",NA,NA,NA,NA,"2024","F","F"
"16","9",7,0.143838129348281,0.166089965397924,1,0.145328719723184,0.148040955482933,1,0,1,"affiliative",NA,NA,NA,NA,"2024","M","M"
"17","11",151,0.619234814899222,0.239020303567908,0.571428571428571,0.0921821961379978,0.0984687585506809,0.665145386487547,0.393,28,"affiliative",NA,NA,NA,NA,"2024","M","M"
"18","14",25,0.251307270544274,0.31910771325339,0.666666666666667,0.140742262744626,0.144863836374077,0.978538917838707,0.333,6,"affiliative",NA,NA,NA,NA,"2024","F","F"
